Source	Target	Weight
AlfonsGorina	movieweb	5
McIslamofobia	carlesplb	3
marsicilia	javiernegre10	4
wualaswold1	updayESP	9
RedPillDetox	TomthunkitsMind	7
SpanishDan1	fascinatorfun	8
FXstreetReports	ValBednarik	3
OriolQuintanaMa	informativost5	6
anarkoRT	Andaluz_Jarto	5
FXstreetNews	forexcrunch	4
Aliciaglautwips	HelenBranswell	4
emocionycambio	DrTedros	16
UnesAnzoategui	NestorLReverol	4
pctaradell	emergenciescat	5
Pointluck1	elnacionalcat	3
talipalmagibert	HelenBranswell	3
flower302	realDonaldTrump	8
DenisaLeon	MAECgob	4
charliechancat	dr_gsharma	4
SpanishDan1	g_gosden	6
gdelrio10	eldiarioes	3
artegina	govern	3
indignindigente	XHNews	3
emocionycambio	UNESCO	4
SpanishDan1	BorisJohnson	4
EmDicMerce	elnacionalcat	3
SpanishDan1	miffythegamer	6
DavidBarcelo28	324cat	3
Yiyu25	navedelmisterio	3
joanmariapique	emergenciescat	4
XAVIER_MASGRAU	VilaWeb	3
sarizor	ElSaltoDiario	4
Karme07SensePor	VilaWeb	4
jmpelleja	QuimTorraiPla	3
cmdte_rgp_anz	GNBoficial	4
adriaguevara_	ajuntamentvng	3
Esther32837485	MariaV_Iberica1	3
watashiwaWidya	kompascom	3
RadioTarrega	gencat	3
Winona1610	elnacionalcat	5
reus_cat	govern	3
UlqJaio	DrDenaGrayson	4
XAVIER_MASGRAU	territoricat	3
AlbertRaurell	emergenciescat	3
SSIEmergency	CDCofBC	5
RadioCambrilsFM	ajcambrils	4
AlbertRaurell	SaludPublicaEs	3
LuisVies	CMichaelGibson	6
floskinborkkum1	elnacionalcat	3
FXstreetNews	HareshMenghani	11
emocionycambio	UN_Women	3
PilarSerra12	denterd	3
LotusB10	TODAYonline	3
lourdesmarins	BBCNews	3
FXstreetNews	eren_fxstreet	8
MahitiAnand	InfoGujarat	4
jjmiphoto	HelenBranswell	3
MarcCR94	CensuratNews	3
DavidBarcelo28	naciodigital	4
cenutrio	publico_es	3
Manu_K_tala	VilaWeb	5
NatBrugat	govern	3
canalte	mossos	3
carlbcn	Alvisepf	4
carlbcn	PabloIglesias	3
carlbcn	IreneMontero	3
avpcnavas	emergenciescat	4
LaVanguardia	LaVanguardia	4
SpanishDan1	Haggis_UK	4
enricgari	VilaWeb	6
llucetina	publico_es	3
maevagold52	FraJeremies	5
Ssanchezve	emergenciescat	3
PoliciaCambrils	ajcambrils	3
jmarinpu	XavierFerras	3
RadioABCMundial	ABCMundial	3
sbdsalut	salutcat	3
TralsuML	Reuters	3
aladji91940	Conflits_FR	3
gdelrio10	FonsiLoaiza	3
enricgari	el_pais	3
diaridtarragona	diaridtarragona	3
LauraBarange	QuimTorraiPla	3
halepues	JuanGrvas	3
sergio_cortada	mundodeportivo	3
TGNcultura	TGNAjuntament	3
infolliteras	infolliteras	3
soniasada	Aj_Sabadell	3
BatallaCarles	IracundoIsidoro	5
SpanishDan1	JamesMelville	4
SpanishDan1	Conservatives	4
victormayolas	324cat	3
Em_diuen_Eva	QuimTorraiPla	3
marta_qs	VilaWeb	3
MargaXrepublica	govern	4
AlbertRaurell	el_pais	3
guelfa10	elnacionalcat	3
MargaXrepublica	saralidiaester	3
Manu_K_tala	QuimTorraiPla	5
mirovira75	ErnestoEkaizer	3
Egarcamp111	boye_g	3
SpanishDan1	ThatTimWalker	5
anaoromi	QuimTorraiPla	4
sergiorf97	FormulaRapidaEN	4
KayKayKayKatie	Laurie_Garrett	3
SpanishDan1	BylineTimes	3
eduguardia	QuimTorraiPla	3
Opticaroures	Andaluz_Jarto	3
raiguade	ColFiCat	5
lluisbg	ActualidadRT	4
marionaasanchez	mossos	5
Mbarnola55	MediterraneoDGT	3
tsunamilluis	elnacionalcat	3
jguerragza	RicardoAlemanMx	5
_Raul_Pelayo	IGuttmann	4
marc_elpoll	llagosteraldia	3
EmDicMerce	PouBoada	4
rodda2206	SixthTone	3
Taniusku	324cat	3
BCN_Mobilitat	TMBinfo	8
JordiPuiggros1	elnacionalcat	3
lolalailo	QuimTorraiPla	3
SpanishDan1	MarieAnnUK	3
DBotePaz	matarocat	3
joanmariapique	QuimTorraiPla	5
Guti_joan	CanalTerrassa	4
STudur	lideratge_50a50	3
aladji91940	TaconazoFCB	4
jaumecollboni	bcn_ajuntament	3
SpanishDan1	scarlettpeach	4
SpanishDan1	SardinesUk	3
MargaXrepublica	MargaXrepublica	6
psychofoundme	nycsouthpaw	3
MorpheusBeing	ScottMorrisonMP	4
Snow_Cruncher	SenSherrodBrown	3
Snow_Cruncher	realDonaldTrump	3
DaviddPedro	joethebrew	3
cc_urgell	emergenciescat	3
SpanishDan1	peterjukes	3
mar_gotarda	emergenciescat	3
daniiglesias_cs	JuanMarin_Cs	3
mserracant	Aj_Sabadell	3
skracs	elnacionalcat	3
ThaisVyA	NTN24	3
CanyerosLlagos	esport3	3
PauGalles	joethebrew	3
myguideinside	parsnipper	3
enrictremps	SkyNews	3
laribocrusat	VeronicaVsj	3
enricgari	QuimTorraiPla	3
Saco_De_Huesos	emergenciescat	3
CrisMontgat	YourMarkLubbers	3
charliechancat	cbkwgl	3
charliechancat	colorblind07	3
Liverdades	mundiario	3
mjanesam_jan	joseantich	3
mjanesam_jan	elnacionalcat	3
Agrobauma	e24diari	3
IsabelPerez770	PabloFuente	6
ERCsindical	JosepGinesta	3
ArtificeFosk	matthewbennett	5
krisoany	btvnoticies	5
bruixasirenil	sanchezcastejon	4
eliath77924399	elnacionalcat	4
SanDasBolas	Alvisepf	3
Bb7sus4	tjparfitt	3
jvivancos	UNESCO	3
bruixasirenil	govern	3
bruixasirenil	QuimTorraiPla	4
ArtificeFosk	navedelmisterio	3
elviejomiguelc	CoronavirusESP	3
ZIGGY82889510	AsambleaSV	4
Isaac__am	vpartal	3
floresmirly	BAERVenezuela	3
anaoromi	govern	3
joanmariapique	MiquelBuch	3
johnnraymundo	ABSCBNNews	3
emocionycambio	emergenciescat	3
RoserPrG	elnacionalcat	3
portet_bruguera	QuimTorraiPla	3
Rodon_J	XavierAbadMdG	3
marcfdez87	iaiestaran	3
Esquitx17	sanchezcastejon	5
Badalona_GUB	AjBadalona	3
Seny_i_rauxa	iescolar	3
portet_bruguera	JuntsperMataro	3
perdero	VilaWeb	3
LauraBorras	govern	3
Annuska34	QuimTorraiPla	3
InfoAldaia	emergenciescat	3
montsebenedi	salutcat	3
sebaixpenedes	gencat	3
sebaixpenedes	govern	3
RosamariVS	QuimTorraiPla	3
marc_elpoll	emergenciescat	3
krisoany	eldiarioes	3
rm1458	emergenciescat	3
juditrmeu	vpartal	3
PcLaGarriga	emergenciescat	3
AlisaPeinhardt	DrJeanneM	3
emocionycambio	ChinaEUMission	4
Beacandanga	RTultimahora	3
VillordoMaria	fargosi	3
Txesnut1	redfishstream	4
julien_dignat	lemondefr	4
brian_ebre	doctor_oxford	3
LuisMal27209263	hkumed	3
indy_catalana	milfordedge	3
javilopezEU	sanchezcastejon	3
MargaXrepublica	elnacionalcat	5
UrsulaBayer	cronicaglobal	5
emocionycambio	CoronavirusESP	7
46ccp	elnacionalcat	3
teddy_cat1	proustmalone	3
jrdelbrio	ELSOOrg	6
Masipspbarcelon	JeanineAnez	3
jsebastara	IvanDuque	3
ANTONIOESTIVILL	sextaNoticias	3
LuisZEANZ	SalaAnzoategui	3
MasRuidoTgn	diaridtarragona	3
Txesnut1	DrEricDing	11
joanmariapique	catalangov	9
joanmariapique	meritxellbudo	4
joanmariapique	sanchezcastejon	3
Esquitx17	milfordedge	3
julien_dignat	BFMTV	3
Esquitx17	YourMarkLubbers	3
EmDicMerce	sanchezcastejon	3
MPC11666	COMBarcelona	3
bogoroditzaDina	keeptalkingGR	3
FC_BarcaIona	FCBarcelona	4
Treintanyerold	GranLogiaEspana	4
FanaletFernando	QuimTorraiPla	3
Pointluck1	globalhlthtwit	3
SpanishDan1	BethRigby	3
AntonioRicoVila	QuimTorraiPla	3
dnicatala	elnacionalcat	4
piopio95027380	sanchezcastejon	3
tiatinou	GaucheMafia	3
jguerragza	ContrapesoC	3
jordivallsxor	jparegall	3
JudithR1	EUeic	3
angelitobaez16	QHaRi	3
BalladaresEnric	emergenciescat	3
enricgari	LaRepublicaCat	3
Liz_beth_GB	elnacionalcat	3
emocionycambio	dacosta_jani	3
CorbetoXita	vueling	3
barcelona_010	emergenciescat	3
RaquelAfonso_c	PoliciaAmposta	3
allioli5	elnacionalcat	3
ajalella	salutcat	3
ELarQu	COSnacional	3
SpanishDan1	SkyNews	3
UrsulaBayer	UrsulaBayer	3
